country,region,year,fertility_rate,birth_attended_staff_rate,child_mortality_rate,maternal_mortality_rate,average_life_expectancy,health_spending_per_person,health_spending_rate
Afghanistan,EMR,1995,0.0761,0.0,0.151,0.004370000000000001,54.3,0.0,0.0
Angola,AFR,1995,0.0692,0.0,0.223,0.00307,51.2,15.6,0.0379
Albania,EUR,1995,0.0259,0.8909999999999999,0.0332,0.00016399999999999995,74.6,27.9,0.0256
United Arab Emirates,EMR,1995,0.0342,0.992,0.0132,0.000186,68.8,738.0,0.0264
Argentina,AMR,1995,0.0276,0.985,0.0241,0.000595,73.4,615.0,0.08310000000000001
Armenia,EUR,1995,0.018000000000000002,0.931,0.0391,0.00036,70.1,25.7,0.0645
Antigua and Barbuda,AMR,1995,0.0221,1.0,0.0208,0.000261,73.3,351.0,0.0488
Australia,WBR,1995,0.0182,0.993,0.00701,9.120000000000001e-05,78.3,1570.0,0.0722
Austria,EUR,1995,0.0142,0.0,0.0068200000000000005,3.53e-05,77.0,2860.0,0.0952
Azerbaijan,EUR,1995,0.0258,0.915,0.0945,0.000489,64.7,18.2,0.05860000000000001
Burundi,AFR,1995,0.0729,0.0,0.17800000000000002,0.00519,43.4,9.34,0.0568
Belgium,EUR,1995,0.0161,0.0,0.00765,0.000102,77.0,2140.0,0.0761
Benin,AFR,1995,0.0636,0.0,0.156,0.0038299999999999996,56.9,18.0,0.0469
Burkina Faso,AFR,1995,0.0684,0.0,0.195,0.0025399999999999997,50.7,10.7,0.043
Bulgaria,EUR,1995,0.0134,0.989,0.0193,0.0004370000000000001,69.4,81.8,0.0524
Bahrain,EMR,1995,0.031,0.976,0.0181,0.000315,70.5,482.0,0.0458
Bahamas,AMR,1995,0.0251,0.99,0.0185,0.00057,70.8,840.0,0.06849999999999999
Bosnia and Herzegovina,EUR,1995,0.0171,0.0,0.0141,0.000331,66.2,63.8,0.106
Belarus,EUR,1995,0.0147,0.999,0.0157,0.000207,68.7,69.1,0.0674
